obs,Kidid,bwtkg,Sex,BDAT,Treatment,Date,DIAenroll,DisDay,DIADis,TRT,TRT2,Deadvsdis,Died2wyn,pen,week,Breed,Mentation,bodyposture,resp,bellyfill,fecal,rectal_temp,temp,Total_HS,ExYN10,Exreason,Dead_YN10,Dead_3wYN10,dieage,DFDDie,dieddat,diereason,trt0yn10,Trt0Event,Trt0diar,Trt0pneu,Trt0Age,Trt0dat,Trt0rem,trt1yn10,Trt1Event,Trt1diar,Trt1pneu,Trt1Age,DFDT1,trt1yn10threewk,DFDT1threewk,Trt1dat,Trt1rem,Trt2Event,Trt2Age,Trt2dat,Trt2rem,Trt3Event,Trt3Age,Trt3dat,Trt3rem,Ttr4Even,Trt4Age,Trt4dat,Trt4rem,weight,6wkwt,6wkdat,time,adg
323,502894,3,D,6/16/2021,Con,6/22/2021,6,6/23/2021,7,CON7,SEV,,,B2,0,A,0,0,0,0,1,0,103.3,1,0,,0,0,,50,,,0,,0,0,,,,1,BBDIAR,1,0,8,1,1,1,6/24/2021,SULFA,BBPNEU,38,7/24/2021,ZUPREVO,,,,,,,,,2.8,10.4,8/3/2021,42,0.180952381
305,502876,3,D,6/14/2021,Con,6/22/2021,8,6/23/2021,9,CON14,FOUR,,,B1,0,S,0,0,0,0,0,0,102.6,0,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,10,1,1,1,6/24/2021,ZUPREVO,BBPNEU,38,7/22/2021,NUFL BAN,BBDIAR,39,7/23/2021,SULFA,,,,,3.8,10.8,8/3/2021,42,0.166666667
326,502898,3,D,6/16/2021,Con,6/22/2021,6,6/23/2021,7,CON7,SEV,,,B2,0,A,0,0,0,0,0,0,103.2,0,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,8,1,1,1,6/24/2021,ZUPREVO,BBPNEU,22,7/8/2021,NUFL BAN,BBDIAR,23,7/9/2021,SULFA,,,,,2.6,9,8/3/2021,42,0.152380952
469,503058,3,D,6/23/2021,Con,6/29/2021,6,6/30/2021,7,CON7,SEV,,,B5,0,S,0,0,0,0,0,0,103.3,0,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,8,1,1,1,7/1/2021,ZUPREVO,,,,,,,,,,,,,3.6,8.6,8/10/2021,42,0.119047619
427,503014,3.1,D,6/21/2021,Con,6/29/2021,8,6/30/2021,9,CON14,FOUR,,,B4,0,N,0,0,2,0,0,0,103.1,2,1,RESP,0,0,,50,,,0,,0,0,,,,1,BBPNEU/BBDIAR,1,1,10,1,1,1,7/1/2021,ZUPREVO/SULFA,,,,,,,,,,,,,3.8,13,8/10/2021,42,0.219047619
53,502594,3.1,D,5/26/2021,Con,6/1/2021,6,6/2/2021,7,CON7,SEV,,,A5,0,N,0,0,0,0,0,0,103.1,0,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,8,1,1,1,6/3/2021,ZUPREVO,BBDIAR,17,6/12/2021,SULFA,,,,,,,,,3.4,12.8,7/14/2021,43,0.218604651
366,502937,3.1,D,6/18/2021,Trt,6/29/2021,11,6/30/2021,12,TRT14,FOUR,,,B3,0,S,0,0,0,0,0,0,103.3,0,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,13,1,1,1,7/1/2021,ZUPREVO,BBDIAR,35,7/23/2021,SULFA,,,,,,,,,5.8,13.8,8/10/2021,42,0.19047619
274,502845,3.2,D,6/13/2021,Trt,6/22/2021,9,6/23/2021,10,TRT14,FOUR,,,B1,0,A,0,0,1,1,1,0,103.3,3,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,11,1,1,1,6/24/2021,ZUPREVO,BBDIAR,15,6/28/2021,SULFA,BBPNEU,31,7/14/2021,NUFL BAN,,,,,3.8,10.6,8/3/2021,42,0.161904762
79,502621,3.2,D,5/28/2021,Trt,6/1/2021,4,6/2/2021,5,TRT7,SEV,,,A6,0,S,0,0,1,0,0,1,104.1,2,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,6,1,1,1,6/3/2021,ZUPREVO,BBPNEU,26,6/23/2021,NUFL BAN,BBDIAR,31,6/28/2021,SULFA,,,,,3.6,11.8,7/14/2021,43,0.190697674
248,502818,3.2,D,6/10/2021,Con,6/22/2021,12,6/23/2021,13,CON14,FOUR,,,B,0,N,0,0,1,0,0,0,102.7,1,0,,0,0,,50,,,0,,0,0,,,,1,BBDIAR,1,0,14,1,1,1,6/24/2021,SULFA,BBPNEU,17,6/27/2021,ZUPREVO,BBPNEU,31,7/11/2021,NUFL BAN,,,,,5.8,12.6,8/3/2021,42,0.161904762
